"roll_no","a1","a2","a3","a4","a5","name","county","total","lat","long","type","sum","l1","l2","l3","l4","l5","l6","l7","l8","l9","l10","l11","l12","l13","l14","l15","l16","l17","l18","l19","l20"
"00752A",1,0,0,0,0,"CENTRAL SENIOR MXD N S","Dublin",208,53.3512,-6.25505,"P",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"01795A",1,0,0,0,0,"CENTRAL INFS SCHOOL","Dublin",164,53.351,-6.25492,"P",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"03917V",0,0,0,0,1,"NAOMH PADRAIG BOYS","Dublin",119,53.3432,-6.22435,"P",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"04992R",0,0,1,0,0,"SCOIL AN CROI NAOFA","Dublin",453,53.3839,-6.27337,"P",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"05933G",1,0,0,0,0,"PRESENTATION PRIMARY SCHOOL","Dublin",176,53.3481,-6.27083,"P",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"07546J",0,0,0,1,0,"GOLDENBRIDGE CONVENT","Dublin",267,53.3364,-6.31813,"P",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"09750S",0,0,0,0,1,"ST JOSEPHS BOYS N S","Dublin",480,53.3094,-6.28109,"P",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"09932B",1,0,0,0,0,"STANHOPE ST CONVENT","Dublin",346,53.3524,-6.27975,"P",1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"10653E",0,0,0,1,0,"CHAPELIZOD N S","Dublin",30,53.35,-6.34376,"P",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"11525A",1,0,0,0,0,"ST PATRICKS N SCHOOL","Dublin",488,53.37,-6.25733,"P",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"11578V",0,0,0,0,1,"CITY QUAY BOYS N S","Dublin",161,53.3464,-6.25033,"P",1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"11776C",1,0,0,0,0,"ST LAURENCE O TOOLE JUNIOR BOYS","Dublin",49,53.3509,-6.2415,"P",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"11894I",0,0,0,0,1,"SCOIL MHUIRE","Dublin",294,53.328,-6.21121,"P",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"12448N",1,0,0,0,0,"GARDINER STREET CONVENT","Dublin",304,53.3579,-6.25793,"P",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"12755W",0,0,0,0,1,"KILDARE PLACE  N S","Dublin",221,53.3183,-6.26266,"P",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"13611D",0,0,0,1,0,"PRESENTATION PRIMARY SCHOOL","Dublin",307,53.3354,-6.27538,"P",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
