name,address,lat,long
Spar,"[19-20 Dame Street, South Inner City, Dublin 2, Ireland]",53.3441849,-6.2653551
Nolans Supermarket,"[49 Vernon Avenue, Clontarf, Clontarf, Dublin 3, Ireland]",53.3616,-6.19566
Lidl,"[Moore Street, North Inner City, Dublin 1, Ireland]",53.3512,-6.26319
Dunnes stores,"[Stephen's Green Shopping Ctr, Units 10/11, South Inner City, Dublin 2, Ireland]",53.33991242,-6.260990882
Superquinn,"[Sutton Cross, Howth, Sutton, Dublin 13, Ireland]",53.3894196,-6.1106501
Avoca,"[Rathcoole, N7 Naas Road, Rathcoole, Dublin, Ireland]",53.2837828,-6.45672136
SuperValu,"[169 Howth Road, Killester, Howth, Dublin 3, Ireland]",53.3897,-6.10728
Lidl,"[Thomas Street, Thomas Street, Dublin 8, Ireland]",53.3431,-6.28065
Aldi,"[The Boulevard, Rockbrook, Sandyford, Sandyford, Dublin 18, Ireland]",53.27812637,-6.221439242
Supervalue,"[Walkinstown Road, Walkinstown, Walkinstown, Dublin 12, Ireland]",53.32204938,-6.329981089
Lidl,"[Lower Rathmines Rd, Rathmines, Dublin 6, Ireland]",53.3206711,-6.26578
Aldi,"[Main Street, Mulhuddart, Blanchardstown, Dublin 15, Ireland]",53.3880959,-6.37957
Aldi,"[Lower Rathmines Rd, Rathmines, Dublin 6, Ireland]",53.3206711,-6.26578
Tesco,"[40-47 Fleet Street, Temple Bar, Dublin 2, Ireland]",53.3456383,-6.2607398
Dunnes,"[Beacon South Quater, Sandyford industrial Estate, Sandyford, Dublin 18, Ireland]",53.2678108,-6.2291899
Marks & Spencers Food,"[IFSC, Excise Walk, IFSC, Dublin 1, Ireland]",53.34878692,-6.243683696
Fresh - The Good Food Market,"[Gallery Quay, Grand Canal Quay, Grand Canal Dock, Dublin 2, Ireland]",53.34806824,-6.248270035
C & T Superstore,"[191 Philipsburgh Ave, Drumcondra, Dublin 3, Ireland]",53.3705292,-6.2390699
Tesco,"[Clearwater, Finglas, Finglas, Finglas, Dublin 11, Ireland]",53.3912086,-6.2917099
Tesco,"[Baggot Street Upper 28-30, Baggot Street, Dublin 4, Ireland]",53.3334999,-6.2437453
Supervalu,"[Castle St, Bray, Co. Wicklow, Ireland]",53.2066803,-6.1121302
ALDI,"[East Wall Road, East Wall, Dublin 3, Ireland]",53.35702275,-6.232021037
Tesco,"[Navan Road, Cabra, Cabra, Dublin 7, Ireland]",53.36140067,-6.298591315
